state,election_date,election_polls_open,election_polls_close,election_notes,early_voting_vip_start_date,early_voting_vip_close_date,early_voting_vbm_application_deadline,early_voting_vbm_return_date,early_voting_notes,registration_deadline,registration_online_deadline,registration_notes
AL,2018-11-06,,,,,,2018-11-01,2018-11-05,,2018-10-22,2018-10-22,
AK,2018-11-06,,,,2018-10-22,2018-11-06,2018-10-26,2018-11-06,,2018-10-07,2018-10-07,
AZ,2018-11-06,,,,2018-10-11,2018-11-02,2018-10-26,2018-11-06,,2018-10-09,2018-10-09,
AR,2018-11-06,,,,2018-10-22,2018-11-05,2018-10-30,2018-11-06,,2018-10-07,,
CA,2018-11-06,,,,2018-10-08,2018-11-05,2018-10-30,2018-11-06,Dates vary by county,2018-10-22,2018-10-22,
CO,2018-11-06,,,,2018-10-22,2018-11-06,2018-10-30,2018-11-06,,,2018-10-29,Voters can register at a polling center up to and including Election Day.
CT,2018-11-06,6:00:00 AM,8:00:00 PM,,,,2018-10-08,2018-11-06,,2018-10-30,2018-10-30,
DE,2018-11-06,7:00:00 AM,8:00:00 PM,,,,2018-11-02,2018-11-05,,2018-10-13,2018-10-13,Voters living overseas have until 2018-10-22 to register to vote.
FL,2018-11-06,7:00:00 AM,7:00:00 PM,,2018-10-27,2018-11-03,2018-10-31,2018-11-06,Dates vary by county,2018-10-09,2018-10-09,
GA,2018-11-06,7:00:00 AM,7:00:00 PM,Polling place hours vary by town/municipality,2018-10-15,2018-11-03,2018-11-02,2018-11-06,Dates vary by county,2018-10-09,2018-10-09,
HI,2018-11-06,,,,2018-10-23,2018-11-03,2018-10-30,2018-11-06,,2018-10-09,2018-10-09,
ID,2018-11-06,,,,2018-10-07,2018-11-02,2018-10-31,2018-11-06,In-person absentee voting.,,2018-10-12,If a voter has not registered prior to Election Day he or she may do so at the polling place.
IL,2018-11-06,,,,2018-10-22,2018-11-05,2018-11-01,2018-11-05,,2018-10-09,2018-10-21,"Voters in Illinois can register to vote on any day, including Election Day"
IN,2018-11-06,,,,2018-10-08,2018-11-05,2018-10-29,2018-11-06,In-person absentee voting.,2018-10-09,2018-10-09,
IA,2018-11-06,,,,2018-09-27,2018-11-05,2018-11-02,2018-11-05,In-person absentee voting.,2018-10-27,2018-10-27,"You may register and vote on election day. To do so, you first must go to the correct polling place for your current address on election day."
