state,district,special
AK,,false
AL,1,false
AL,2,false
AL,3,false
AL,4,false
AL,6,false
AL,5,false
AL,7,false
AR,1,false
AR,2,false
AR,3,false
AR,4,false
AZ,1,false
AZ,2,false
AZ,3,false
AZ,4,false
AZ,5,false
AZ,6,false
AZ,7,false
AZ,8,false
AZ,9,false
CA,1,false
CA,2,false
CA,3,false
CA,4,false
CA,5,false
CA,6,false
CA,7,false
CA,8,false
CA,9,false
CA,10,false
CA,11,false
CA,12,false
CA,13,false
CA,14,false
CA,15,false
CA,16,false
CA,17,false
CA,18,false
CA,19,false
CA,20,false
CA,21,false
CA,22,false
CA,23,false
CA,24,false
CA,25,false
CA,26,false
CA,27,false
CA,28,false
CA,29,false
CA,30,false
CA,31,false
CA,32,false
CA,33,false
CA,34,false
CA,35,false
CA,36,false
CA,37,false
CA,38,false
CA,39,false
CA,40,false
CA,41,false
CA,42,false
CA,43,false
CA,44,false
CA,45,false
CA,46,false
CA,47,false
CA,48,false
CA,49,false
CA,50,false
CA,51,false
CA,52,false
CA,53,false
CO,1,false
CO,2,false
CO,3,false
CO,4,false
CO,5,false
CO,6,false
CO,7,false
CT,1,false
CT,2,false
CT,3,false
CT,4,false
CT,5,false
DE,,false
FL,1,false
FL,2,false
FL,3,false
FL,4,false
FL,5,false
FL,6,false
FL,7,false
FL,8,false
FL,9,false
FL,10,false
FL,11,false
FL,12,false
FL,13,false
FL,14,false
FL,15,false
FL,16,false
FL,17,false
FL,18,false
FL,19,false
FL,20,false
FL,21,false
FL,22,false
FL,23,false
FL,24,false
FL,25,false
FL,26,false
FL,27,false
GA,1,false
GA,2,false
GA,3,false
GA,4,false
GA,5,false
GA,6,false
GA,7,false
GA,8,false
GA,9,false
GA,10,false
GA,11,false
GA,12,false
GA,13,false
GA,14,false
HI,1,false
HI,2,false
IA,1,false
IA,2,false
IA,3,false
IA,4,false
ID,1,false
ID,2,false
IL,1,false
IL,2,false
IL,3,false
IL,4,false
IL,5,false
IL,6,false
IL,7,false
IL,8,false
IL,9,false
IL,10,false
IL,11,false
IL,12,false
IL,13,false
IL,14,false
IL,15,false
IL,16,false
IL,17,false
IL,18,false
IN,1,false
IN,2,false
IN,3,false
IN,4,false
IN,5,false
IN,6,false
IN,7,false
IN,8,false
IN,9,false
KS,1,false
KS,2,false
KS,3,false
KS,4,false
KY,1,false
KY,2,false
KY,3,false
KY,4,false
KY,5,false
KY,6,false
LA,1,false
LA,2,false
LA,3,false
LA,4,false
LA,5,false
LA,6,false
MA,1,false
MA,2,false
MA,3,false
MA,4,false
MA,5,false
MA,6,false
MA,7,false
MA,8,false
MA,9,false
MD,1,false
MD,2,false
MD,3,false
MD,4,false
MD,5,false
MD,6,false
MD,7,false
MD,8,false
ME,1,false
ME,2,false
MI,1,false
MI,2,false
MI,3,false
MI,4,false
MI,5,false
MI,6,false
MI,7,false
MI,8,false
MI,9,false
MI,10,false
MI,11,false
MI,12,false
MI,13,false
MI,14,false
MN,1,false
MN,2,false
MN,3,false
MN,4,false
MN,5,false
MN,6,false
MN,7,false
MN,8,false
MO,1,false
MO,2,false
MO,3,false
MO,4,false
MO,5,false
MO,6,false
MO,7,false
MO,8,false
MS,1,false
MS,2,false
MS,3,false
MS,4,false
MT,,false
NC,1,false
NC,2,false
NC,3,false
NC,4,false
NC,5,false
NC,6,false
NC,7,false
NC,8,false
NC,9,false
NC,10,false
NC,11,false
NC,12,false
NC,13,false
ND,,false
NE,1,false
NE,2,false
NE,3,false
NH,1,false
NH,2,false
NJ,1,false
NJ,2,false
NJ,3,false
NJ,4,false
NJ,5,false
NJ,6,false
NJ,7,false
NJ,8,false
NJ,9,false
NJ,10,false
NJ,11,false
NJ,12,false
NM,1,false
NM,2,false
NM,3,false
NV,2,false
NV,1,false
NV,3,false
NV,4,false
NY,1,false
NY,2,false
NY,3,false
NY,4,false
NY,5,false
NY,6,false
NY,7,false
NY,8,false
NY,9,false
NY,10,false
NY,11,false
NY,12,false
NY,13,false
NY,14,false
NY,15,false
NY,16,false
NY,17,false
NY,18,false
NY,19,false
NY,20,false
NY,21,false
NY,22,false
NY,23,false
NY,24,false
NY,25,false
NY,26,false
NY,27,false
OH,1,false
OH,2,false
OH,3,false
OH,4,false
OH,5,false
OH,6,false
OH,7,false
OH,8,false
OH,9,false
OH,10,false
OH,11,false
OH,12,false
OH,13,false
OH,14,false
OH,15,false
OH,16,false
OK,1,false
OK,2,false
OK,3,false
OK,4,false
OK,5,false
OR,1,false
OR,2,false
OR,3,false
OR,4,false
OR,5,false
PA,1,false
PA,2,false
PA,3,false
PA,4,false
PA,5,false
PA,6,false
PA,7,false
PA,8,false
PA,9,false
PA,10,false
PA,11,false
PA,12,false
PA,13,false
PA,14,false
PA,15,false
PA,16,false
PA,17,false
