state,election_date,election_variant,runoff_election_date,election_openness,election_party,election_notes
AL,2018-06-05,primary,2018-07-17,open,dem,
AL,2018-06-05,primary,2018-07-17,open,gop,
AK,2018-08-21,primary,,open,dem,
AK,2018-08-21,primary,,closed,gop,
AZ,2018-08-28,primary,,semi-closed,dem,
AZ,2018-08-28,primary,,semi-closed,gop,
AR,2018-05-22,primary,2018-06-19,open,dem,
AR,2018-05-22,primary,2018-06-19,open,gop,
CA,2018-06-05,top-two-primary,,,,
CO,2018-06-26,primary,,semi-closed,dem,
CO,2018-06-26,primary,,semi-closed,gop,
CT,2018-08-14,primary,,semi-closed,dem,
CT,2018-08-14,primary,,semi-closed,gop,
DE,2018-09-06,primary,,closed,dem,
DE,2018-09-06,primary,,closed,gop,
DC,2018-06-19,primary,,closed,dem,
DC,2018-06-19,primary,,closed,gop,
FL,2018-08-28,primary,,closed,dem,
FL,2018-08-28,primary,,closed,gop,
GA,2018-05-22,primary,2018-07-24,open,dem,
GA,2018-05-22,primary,2018-07-24,open,gop,
HI,2018-08-11,primary,,open,dem,
HI,2018-08-11,primary,,open,gop,
ID,2018-05-15,primary,,,gop,
ID,2018-05-15,primary,,,dem,
IL,2018-03-20,primary,,open,dem,
IL,2018-03-20,primary,,open,gop,
IN,2018-05-08,primary,,open,dem,
IN,2018-05-08,primary,,open,gop,
IA,2018-06-05,primary,,semi-open,dem,
IA,2018-06-05,primary,,semi-open,gop,
KS,2018-08-07,primary,,closed,dem,
KS,2018-08-07,primary,,closed,gop,
KY,2018-05-22,primary,,closed,dem,
KY,2018-05-22,primary,,closed,gop,
LA,2018-11-06,majority-elects-blanket-primary,,,,
ME,2018-06-12,primary,,closed,dem,
ME,2018-06-12,primary,,closed,gop,
MD,2018-06-26,primary,,closed,dem,
MD,2018-06-26,primary,,closed,gop,
MA,2018-09-04,primary,,semi-closed,dem,
MA,2018-09-04,primary,,semi-closed,gop,
MI,2018-08-07,primary,,open,dem,
MI,2018-08-07,primary,,open,gop,
MN,2018-08-14,primary,,open,dem,
MN,2018-08-14,primary,,open,gop,
MS,2018-06-05,primary,2018-06-26,open,dem,
MS,2018-06-05,primary,2018-06-26,open,gop,
MO,2018-08-07,primary,,open,dem,
MO,2018-08-07,primary,,open,gop,
MT,2018-06-05,primary,,open,dem,
MT,2018-06-05,primary,,open,gop,
NE,2018-05-15,primary,,closed,dem,
NE,2018-05-15,primary,,closed,gop,
NV,2018-06-12,primary,,closed,dem,
NV,2018-06-12,primary,,closed,gop,
NH,2018-09-11,primary,,semi-closed,dem,
NH,2018-09-11,primary,,semi-closed,gop,
NJ,2018-06-05,primary,,semi-closed,dem,
NJ,2018-06-05,primary,,semi-closed,gop,
NM,2018-06-05,primary,,closed,dem,
NM,2018-06-05,primary,,closed,gop,
NY,2018-06-26,primary,,closed,dem,
NY,2018-06-26,primary,,closed,gop,
NC,2018-05-08,primary,2018-07-17,semi-closed,dem,
NC,2018-05-08,primary,2018-07-17,semi-closed,gop,
ND,2018-06-12,primary,,open,dem,
ND,2018-06-12,primary,,open,gop,
OH,2018-05-08,primary,,open,dem,
OH,2018-05-08,primary,,open,gop,
OK,2018-06-26,primary,2018-08-28,,dem,
OK,2018-06-26,primary,2018-08-28,closegop,d,
OR,2018-05-15,primary,,closed,dem,
OR,2018-05-15,primary,,closed,gop,
PA,2018-05-15,primary,,closed,dem,
PA,2018-05-15,primary,,closed,gop,
RI,2018-09-12,primary,,semi-closed,dem,
RI,2018-09-12,primary,,semi-closed,gop,
SC,2018-06-12,primary,2018-06-26,open,dem,
SC,2018-06-12,primary,2018-06-26,open,gop,
SD,2018-06-05,primary,2018-08-14,,dem,
SD,2018-06-05,primary,2018-08-14,closed,gop,
TN,2018-08-02,primary,,semi-open,dem,
TN,2018-08-02,primary,,semi-open,gop,
TX,2018-03-06,primary,2018-05-22,open,dem,
TX,2018-03-06,primary,2018-05-22,open,gop,
UT,2018-06-26,primary,,semi-closed,dem,
UT,2018-06-26,primary,,semi-closed,gop,
VT,2018-08-14,primary,,open,dem,
VT,2018-08-14,primary,,open,gop,
VA,2018-06-12,primary,,open,dem,
VA,2018-06-12,primary,,open,gop,
WA,2018-08-07,top-two-primary,,,,
WV,2018-05-08,primary,,semi-closed,dem,
WV,2018-05-08,primary,,semi-closed,gop,
WI,2018-08-14,primary,,open,dem,
WI,2018-08-14,primary,,open,gop,
WY,2018-08-21,primary,,semi-open,dem,
WY,2018-08-21,primary,,semi-open,gop,
