state,election_date,election_polls_open,election_polls_close,election_notes,early_voting_vip_start_date,early_voting_vip_close_date,early_voting_vbm_application_deadline,early_voting_vbm_return_date,early_voting_notes,registration_deadline,registration_online_deadline,registration_notes
AL,2018-11-08,,,,,,,,,,,
AK,2018-11-08,,,,,,,,,,,
AZ,2018-11-08,,,,,,,,,,,
AR,2018-11-08,,,,,,,,,,,
CA,2018-11-08,,,,,,,,,,,
CO,2018-11-08,,,,,,,,,,,
CT,2018-11-08,,,,,,,,,,,
DE,2018-11-08,,,,,,,,,,,
FL,2018-11-08,,,,,,,,,,,
GA,2018-11-08,,,,,,,,,,,
HI,2018-11-08,,,,,,,,,,,
ID,2018-11-08,,,,,,,,,,,
IL,2018-11-08,,,,,,,,,,,
IN,2018-11-08,,,,,,,,,,,
IA,2018-11-08,,,,,,,,,,,
KS,2018-11-08,,,,,,,,,,,
KY,2018-11-08,,,,,,,,,,,
LA,2018-11-08,,,,,,,,,,,
ME,2018-11-08,,,,,,,,,,,
MD,2018-11-08,,,,,,,,,,,
MA,2018-11-08,,,,,,,,,,,
MI,2018-11-08,,,,,,,,,,,
MN,2018-11-08,,,,,,,,,,,
MS,2018-11-08,,,,,,,,,,,
MO,2018-11-08,,,,,,,,,,,
MT,2018-11-08,,,,,,,,,,,
NE,2018-11-08,,,,,,,,,,,
NV,2018-11-08,,,,,,,,,,,
NH,2018-11-08,,,,,,,,,,,
NJ,2018-11-08,,,,,,,,,,,
NM,2018-11-08,,,,,,,,,,,
NY,2018-11-08,,,,,,,,,,,
NC,2018-11-08,,,,,,,,,,,
ND,2018-11-08,,,,,,,,,,,
OH,2018-11-08,,,,,,,,,,,
OK,2018-11-08,,,,,,,,,,,
OR,2018-11-08,,,,,,,,,,,
PA,2018-11-08,,,,,,,,,,,
RI,2018-11-08,,,,,,,,,,,
SC,2018-11-08,,,,,,,,,,,
SD,2018-11-08,,,,,,,,,,,
TN,2018-11-08,,,,,,,,,,,
TX,2018-11-08,,,,,,,,,,,
UT,2018-11-08,,,,,,,,,,,
VT,2018-11-08,,,,,,,,,,,
VA,2018-11-08,,,,,,,,,,,
WA,2018-11-08,,,,,,,,,,,
WV,2018-11-08,,,,,,,,,,,
WI,2018-11-08,,,,,,,,,,,
WY,2018-11-08,,,,,,,,,,,
DC,2018-11-08,,,,,,,,,,,
