election_date,state,election_type,status,in_person_poll_open_times,in_person_poll_close_times,additional_notes
2022-01-11,FL,specialGeneral,complete,2022-01-11T12:00:00.000Z,2022-01-12T00:00:00.000Z,
2022-02-15,WI,etcPrimary,planned,2022-02-15T13:00:00.000Z,2022-02-16T02:00:00.000Z,
2022-03-01,TX,partyPrimary,planned,2022-03-01T13:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-03-01T14:00:00.000Z (areas in Mountain Time Zone),2022-03-02T01:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-03-02T02:00:00.000Z (areas in Mountain Time Zone),
2022-03-08,NC,partyPrimary,rescheduled,2022-03-08T11:30:00.000Z,2022-03-09T00:30:00.000Z,
2022-04-05,CA,majorityElectsPrimary,planned,2022-04-05T14:00:00.000Z,2022-04-06T03:00:00.000Z,
2022-04-05,WI,etcGeneral,planned,2022-04-05T12:00:00.000Z,2022-04-06T01:00:00.000Z,
2022-05-03,IN,partyPrimary,planned,2022-05-03T10:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-05-03T11:00:00.000Z (areas in Central Time Zone),2022-05-03T22:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-05-03T23:00:00.000Z (areas in Central Time Zone),
2022-05-03,OH,partyPrimary,planned,2022-05-03T10:30:00.000Z,2022-05-03T23:30:00.000Z,
2022-05-10,NE,partyPrimary,planned,2022-05-10T13:00:00.000Z,2022-05-11T01:00:00.000Z,
2022-05-10,WV,partyPrimary,planned,2022-05-10T10:30:00.000Z,2022-05-10T23:30:00.000Z,
2022-05-17,ID,partyPrimary,planned,2022-05-17T14:00:00.000Z (areas in Mountain Time Zone [most of state]) / 2022-05-17T15:00:00.000Z (areas in Pacific Time Zone),2022-05-18T02:00:00.000Z (areas in Mountain Time Zone [most of state]) / 2022-05-18T03:00:00.000Z (areas in Pacific Time Zone),
2022-05-17,KY,partyPrimary,planned,2022-05-17T10:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-05-17T11:00:00.000Z (areas in Central Time Zone),2022-05-17T22:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-05-17T23:00:00.000Z (areas in Central Time Zone),
2022-05-17,NC,partyPrimary,planned,2022-05-17T10:30:00.000Z,2022-05-17T23:30:00.000Z,
2022-05-17,OR,partyPrimary,planned,,2022-05-18T03:00:00.000Z (areas in Pacific Time Zone [most of state]) / 2022-05-18T02:00:00.000Z (areas in Mountain Time Zone),"Oregon votes entirely by mail, so the state has no specific poll opening time."
2022-05-17,PA,partyPrimary,planned,2022-05-17T11:00:00.000Z,2022-05-18T00:00:00.000Z,
2022-05-24,AL,partyPrimary,planned,2022-05-24T12:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-05-24T11:00:00.000Z (areas in Eastern Time Zone),2022-05-25T00:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-05-24T23:00:00.000Z (areas in Eastern Time Zone),
2022-05-24,AR,partyPrimary,planned,2022-05-24T12:30:00.000Z,2022-05-25T00:30:00.000Z,
2022-05-24,GA,partyPrimary,planned,2022-05-24T11:00:00.000Z,2022-05-24T23:00:00.000Z,
2022-05-24,TX,partyPrimaryRunoff,ifNeeded,2022-05-24T12:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-05-24T13:00:00.000Z (areas in Mountain Time Zone),2022-05-25T00:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-05-25T01:00:00.000Z (areas in Mountain Time Zone),
2022-06-07,CA,openBlanketPrimary,planned,2022-06-07T14:00:00.000Z,2022-06-08T03:00:00.000Z,
2022-06-07,CA,majorityElectsRunoff,ifNeeded,2022-06-07T14:00:00.000Z,2022-06-08T03:00:00.000Z,
2022-06-07,IA,partyPrimary,planned,2022-06-07T12:00:00.000Z,2022-06-08T01:00:00.000Z,
2022-06-07,MS,partyPrimary,planned,2022-06-07T12:00:00.000Z,2022-06-08T00:00:00.000Z,
2022-06-07,MT,partyPrimary,planned,2022-06-07T13:00:00.000Z,2022-06-08T02:00:00.000Z,
2022-06-07,NJ,partyPrimary,planned,2022-06-07T10:00:00.000Z,2022-06-08T00:00:00.000Z,
2022-06-07,NM,partyPrimary,planned,2022-06-07T13:00:00.000Z,2022-06-08T01:00:00.000Z,
2022-06-07,SD,partyPrimary,planned,2022-06-07T12:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-06-07T13:00:00.000Z (areas in Mountain Time Zone),2022-06-08T00:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-06-08T01:00:00.000Z (areas in Mountain Time Zone),
2022-06-14,ME,partyPrimary,planned,2022-06-14T10:00:00.000Z,2022-06-15T00:00:00.000Z,
2022-06-14,ND,partyPrimary,planned,2022-06-14T12:00:00.000Z (earliest opening areas) / 2022-06-14T15:00:00.000Z (latest opening areas),2022-06-15T00:00:00.000Z (earliest closing areas) / 2022-06-15T03:00:00.000Z (latest closing areas),
2022-06-14,NV,partyPrimary,planned,2022-06-14T14:00:00.000Z,2022-06-15T02:00:00.000Z,
2022-06-14,SC,partyPrimary,tentative,2022-06-14T11:00:00.000Z,2022-06-14T23:00:00.000Z,
2022-06-21,AL,partyPrimaryRunoff,ifNeeded,2022-06-21T12:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-06-21T11:00:00.000Z (areas in Eastern Time Zone),2022-06-22T00:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-06-21T23:00:00.000Z (areas in Eastern Time Zone),
2022-06-21,AR,partyPrimaryRunoff,ifNeeded,2022-06-21T12:30:00.000Z,2022-06-22T00:30:00.000Z,
2022-06-21,DC,partyPrimary,planned,2022-06-21T11:00:00.000Z,2022-06-22T00:00:00.000Z,
2022-06-21,GA,partyPrimaryRunoff,ifNeeded,2022-06-21T11:00:00.000Z,2022-06-21T23:00:00.000Z,
2022-06-21,VA,partyPrimary,planned,2022-06-21T10:00:00.000Z,2022-06-21T23:00:00.000Z,
2022-06-28,CO,partyPrimary,planned,2022-06-28T13:00:00.000Z,2022-06-29T01:00:00.000Z,
2022-06-28,IL,partyPrimary,planned,2022-06-28T11:00:00.000Z,2022-06-29T00:00:00.000Z,
2022-06-28,MD,partyPrimary,planned,2022-06-28T11:00:00.000Z,2022-06-29T00:00:00.000Z,
2022-06-28,MS,partyPrimaryRunoff,ifNeeded,2022-06-28T12:00:00.000Z,2022-06-29T00:00:00.000Z,
2022-06-28,NY,partyPrimary,tentative,2022-06-28T10:00:00.000Z,2022-06-29T01:00:00.000Z,
2022-06-28,OK,partyPrimary,planned,2022-06-28T12:00:00.000Z,2022-06-29T00:00:00.000Z,
2022-06-28,SC,partyPrimaryRunoff,tentative,2022-06-28T11:00:00.000Z,2022-06-28T23:00:00.000Z,
2022-06-28,UT,partyPrimary,planned,2022-06-28T13:00:00.000Z,2022-06-28T02:00:00.000Z,
2022-08-02,AZ,partyPrimary,planned,2022-08-02T12:00:00.000Z,2022-08-03T01:00:00.000Z,
2022-08-02,KS,partyPrimary,tentative,2022-08-02T12:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-08-02T13:00:00.000Z (areas in Mountain Time Zone),2022-08-03T00:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-08-03T01:00:00.000Z (areas in Mountain Time Zone),
2022-08-02,MI,partyPrimary,planned,2022-08-02T11:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-08-02T12:00:00.000Z (areas in Central Time Zone),2022-08-03T00:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-08-03T01:00:00.000Z (areas in Central Time Zone),
2022-08-02,MO,partyPrimary,planned,2022-08-02T11:00:00.000Z,2022-08-03T00:00:00.000Z,
2022-08-02,WA,openBlanketPrimary,planned,,2022-08-03T03:00:00.000Z,"Washington votes entirely by mail, so the state has no specific poll opening time."
2022-08-04,TN,partyPrimary,planned,2022-08-04T11:00:00.000Z (earliest opening areas) / 2022-08-04T14:00:00.000Z (latest opening areas),2022-08-05T00:00:00.000Z (most areas' closing time),
2022-08-09,CT,partyPrimary,planned,2022-08-09T10:00:00.000Z,2022-08-10T00:00:00.000Z,
2022-08-09,MN,partyPrimary,planned,2022-08-09T12:00:00.000Z,2022-08-10T01:00:00.000Z,
2022-08-09,VT,partyPrimary,planned,2022-08-09T09:00:00.000Z (earliest opening areas) / 2022-08-09T14:00:00.000Z (latest opening areas),2022-08-09T23:00:00.000Z (most areas' closing time)
2022-08-09,WI,partyPrimary,planned,2022-08-09T12:00:00.000Z,2022-08-10T01:00:00.000Z,
2022-08-13,HI,partyPrimary,planned,2022-08-13T17:00:00.000Z,2022-08-13T05:00:00.000Z,
2022-08-16,AK,openBlanketPrimary,planned,2022-08-16T15:00:00.000Z (areas in Alaska Time Zone [most of state]) / 2022-08-16T16:00:00.000Z (areas in Hawaii-Aleutian Time Zone),2022-08-17T04:00:00.000Z (areas in Alaska Time Zone [most of state]) / 2022-08-17T05:00:00.000Z (areas in Hawaii-Aleutian Time Zone),
2022-08-16,SD,partyPrimaryRunoff,ifNeeded,2022-08-16T12:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-08-16T13:00:00.000Z (areas in Mountain Time Zone),2022-08-17T00:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-08-17T01:00:00.000Z (areas in Mountain Time Zone),
2022-08-16,WY,partyPrimary,planned,2022-08-16T13:00:00.000Z,2022-08-17T01:00:00.000Z,
2022-08-23,FL,partyPrimary,planned,2022-08-23T11:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-08-23T12:00:00.000Z (areas in Central Time Zone),2022-08-23T23:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-08-24T00:00:00.000Z (areas in Central Time Zone),
2022-08-23,OK,partyPrimaryRunoff,ifNeeded,2022-08-23T12:00:00.000Z,2022-08-24T00:00:00.000Z,
2022-09-13,DE,partyPrimary,planned,2022-09-13T11:00:00.000Z,2022-09-14T00:00:00.000Z,
2022-09-13,NH,partyPrimary,planned,2022-09-13T10:00:00.000Z (earliest opening areas) / 2022-09-13T15:00:00.000Z (latest opening areas),2022-09-14T00:00:00.000Z (latest closing areas),
2022-09-13,RI,partyPrimary,tentative,2022-09-13T11:00:00.000Z,2022-09-14T00:00:00.000Z,Some polls may stay open as late as 9 p.m. on election night.
2022-09-20,MA,partyPrimary,tentative,2022-09-13T11:00:00.000Z,2022-09-14T00:00:00.000Z,Some municipalities open as early as 5:45 a.m. ET.s
2022-11-08,AL,general,planned,2022-11-08T13:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-11-08T12:00:00.000Z (areas in Eastern Time Zone),2022-11-09T01:00:00.000Z (areas in Central Time Zone [most of state]) / 2022-11-09T00:00:00.000Z (areas in Eastern Time Zone),
2022-11-08,AK,general,planned,2022-11-08T16:00:00.000Z (areas in Alaska Time Zone [most of state]) / 2022-11-08T17:00:00.000Z (areas in Hawaii-Aleutian Time Zone),2022-11-09T05:00:00.000Z (areas in Alaska Time Zone [most of state]) / 2022-11-09T06:00:00.000Z (areas in Hawaii-Aleutian Time Zone),
2022-11-08,AR,general,planned,2022-11-08T13:30:00.000Z,2022-11-09T01:30:00.000Z,
2022-11-08,AZ,general,planned,2022-11-08T13:00:00.000Z,2022-11-09T02:00:00.000Z,
2022-11-08,CA,general,planned,2022-11-08T15:00:00.000Z,2022-11-09T04:00:00.000Z,
2022-11-08,CO,general,planned,2022-11-08T14:00:00.000Z,2022-11-09T02:00:00.000Z,
2022-11-08,CT,general,planned,2022-11-08T11:00:00.000Z,2022-11-09T01:00:00.000Z,
2022-11-08,DC,general,planned,2022-11-08T12:00:00.000Z,2022-11-09T01:00:00.000Z,
2022-11-08,DE,general,planned,2022-11-08T12:00:00.000Z,2022-11-09T01:00:00.000Z,
2022-11-08,FL,general,planned,2022-11-08T12:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-11-08T13:00:00.000Z (areas in Central Time Zone),2022-11-09T00:00:00.000Z (areas in Eastern Time Zone [most of state]) / 2022-11-09T01:00:00.000Z (areas in Central Time Zone),
